region,division,title,date
england-and-wales,england-and-wales,New Year’s Day,2017-01-02
england-and-wales,england-and-wales,Good Friday,2017-04-14
england-and-wales,england-and-wales,Easter Monday,2017-04-17
england-and-wales,england-and-wales,Early May bank holiday,2017-05-01
england-and-wales,england-and-wales,Spring bank holiday,2017-05-29
england-and-wales,england-and-wales,Summer bank holiday,2017-08-28
england-and-wales,england-and-wales,Christmas Day,2017-12-25
england-and-wales,england-and-wales,Boxing Day,2017-12-26
england-and-wales,england-and-wales,New Year’s Day,2018-01-01
england-and-wales,england-and-wales,Good Friday,2018-03-30
england-and-wales,england-and-wales,Easter Monday,2018-04-02
england-and-wales,england-and-wales,Early May bank holiday,2018-05-07
england-and-wales,england-and-wales,Spring bank holiday,2018-05-28
england-and-wales,england-and-wales,Summer bank holiday,2018-08-27
england-and-wales,england-and-wales,Christmas Day,2018-12-25
england-and-wales,england-and-wales,Boxing Day,2018-12-26
england-and-wales,england-and-wales,New Year’s Day,2019-01-01
england-and-wales,england-and-wales,Good Friday,2019-04-19
england-and-wales,england-and-wales,Easter Monday,2019-04-22
england-and-wales,england-and-wales,Early May bank holiday,2019-05-06
england-and-wales,england-and-wales,Spring bank holiday,2019-05-27
england-and-wales,england-and-wales,Summer bank holiday,2019-08-26
england-and-wales,england-and-wales,Christmas Day,2019-12-25
england-and-wales,england-and-wales,Boxing Day,2019-12-26
england-and-wales,england-and-wales,New Year’s Day,2020-01-01
england-and-wales,england-and-wales,Good Friday,2020-04-10
england-and-wales,england-and-wales,Easter Monday,2020-04-13
england-and-wales,england-and-wales,Early May bank holiday (VE day),2020-05-08
england-and-wales,england-and-wales,Spring bank holiday,2020-05-25
england-and-wales,england-and-wales,Summer bank holiday,2020-08-31
england-and-wales,england-and-wales,Christmas Day,2020-12-25
england-and-wales,england-and-wales,Boxing Day,2020-12-28
england-and-wales,england-and-wales,New Year’s Day,2021-01-01
england-and-wales,england-and-wales,Good Friday,2021-04-02
england-and-wales,england-and-wales,Easter Monday,2021-04-05
england-and-wales,england-and-wales,Early May bank holiday,2021-05-03
england-and-wales,england-and-wales,Spring bank holiday,2021-05-31
england-and-wales,england-and-wales,Summer bank holiday,2021-08-30
england-and-wales,england-and-wales,Christmas Day,2021-12-27
england-and-wales,england-and-wales,Boxing Day,2021-12-28
england-and-wales,england-and-wales,New Year’s Day,2022-01-03
england-and-wales,england-and-wales,Good Friday,2022-04-15
england-and-wales,england-and-wales,Easter Monday,2022-04-18
england-and-wales,england-and-wales,Early May bank holiday,2022-05-02
england-and-wales,england-and-wales,Spring bank holiday,2022-06-02
england-and-wales,england-and-wales,Platinum Jubilee bank holiday,2022-06-03
england-and-wales,england-and-wales,Summer bank holiday,2022-08-29
england-and-wales,england-and-wales,Boxing Day,2022-12-26
england-and-wales,england-and-wales,Christmas Day,2022-12-27
england-and-wales,england-and-wales,New Year’s Day,2023-01-02
england-and-wales,england-and-wales,Good Friday,2023-04-07
england-and-wales,england-and-wales,Easter Monday,2023-04-10
england-and-wales,england-and-wales,Early May bank holiday,2023-05-01
england-and-wales,england-and-wales,Spring bank holiday,2023-05-29
england-and-wales,england-and-wales,Summer bank holiday,2023-08-28
england-and-wales,england-and-wales,Christmas Day,2023-12-25
england-and-wales,england-and-wales,Boxing Day,2023-12-26
scotland,scotland,2nd January,2017-01-02
scotland,scotland,New Year’s Day,2017-01-03
scotland,scotland,Good Friday,2017-04-14
scotland,scotland,Early May bank holiday,2017-05-01
scotland,scotland,Spring bank holiday,2017-05-29
scotland,scotland,Summer bank holiday,2017-08-07
scotland,scotland,St Andrew’s Day,2017-11-30
scotland,scotland,Christmas Day,2017-12-25
scotland,scotland,Boxing Day,2017-12-26
scotland,scotland,New Year’s Day,2018-01-01
scotland,scotland,2nd January,2018-01-02
scotland,scotland,Good Friday,2018-03-30
scotland,scotland,Early May bank holiday,2018-05-07
scotland,scotland,Spring bank holiday,2018-05-28
scotland,scotland,Summer bank holiday,2018-08-06
scotland,scotland,St Andrew’s Day,2018-11-30
scotland,scotland,Christmas Day,2018-12-25
